message,is_code_mixed,sentiment,context,greeting_info,has_greeting,exact_slang,has_exact_slang,fuzzy_slang,has_fuzzy_slang,intent
Kana uri MuZim neraini rako here uchigara kuzimbabwe,True,unknown,greeting,[],False,[],False,['uri'],True,chitchat
Thanks for adding me how are you family,True,positive,general,[],False,[],False,['me'],True,chitchat
Name Rumbi Born Masoka,True,unknown,general,[],False,[],False,[],False,chitchat
Uyo mwana wacho,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Welcome mukanya,True,unknown,general,[],False,[],False,[],False,chitchat
You are now admin,True,neutral,general,[],False,[],False,[],False,chitchat
Totenda Mwari zvikurusa sokostina  tinokudai arimuno here,True,unknown,religion,[],False,[],False,[],False,chitchat
Mkoma Patrick PetsoGreetings Big browelcome aboard,True,neutral,general,[],False,[],False,['big'],True,chitchat
Youre welcome bamunini,True,positive,general,[],False,[],False,[],False,chitchat
Hy hama dzangu,True,unknown,general,[],False,[],False,[],False,chitchat
Welcome on board,True,positive,general,[],False,[],False,['on'],True,chitchat
Welcome mwana  wakadii hako,True,unknown,general,[],False,[],False,[],False,chitchat
Ini boe zvangu kurisei kwamuri hama dzadiiwa ndokumbirawo tizivane nemi mose,True,unknown,general,[],False,[],False,[],False,chitchat
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,chitchat
Dear Friend youve been referred by Blessing Masoka to contact ZimLoan for an online loan,True,neutral,general,[],False,[],False,"['to', 'an']",True,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Greetings family,True,neutral,general,[],False,[],False,[],False,chitchat
Morning family,True,neutral,general,[],False,[],False,[],False,chitchat
morning  mwana,True,unknown,general,[],False,[],False,[],False,chitchat
Mkanya,True,unknown,general,[],False,[],False,[],False,chitchat
Maswerasei hama,True,unknown,greeting,[],False,[],False,[],False,chitchat
Makadiniko pano hama,True,unknown,greeting,[],False,[],False,[],False,chitchat
Shame nematambudziko,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko hma,True,unknown,general,[],False,[],False,['hma'],True,chitchat
Sorry nematambudziko veduwee,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko mwanangu,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko,True,unknown,general,[],False,[],False,[],False,chitchat
I am sorry Mai Masimba May u be comforted in the Lord,True,negative,general,[],False,[],False,"['i', 'am', 'u', 'be', 'in']",True,chitchat
Oh Nematambudziko  zvoda kutaura nguvairipo mwana tokukutawo vanokwanisa vasvika tovhumbamira mwana wedu,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko hama,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko nekurasikirwa naTete,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko,True,unknown,general,[],False,[],False,[],False,chitchat
Tineurombo muzukuru Chipo nyaradzwai,True,unknown,greeting,[],False,[],False,[],False,chitchat
Nematambudziko,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko daughter,True,unknown,general,[],False,[],False,[],False,chitchat
Mangwanani akanaka hama dzadiwa,True,unknown,greeting,"[{'term': 'mangwanani', 'meaning': 'Good morning', 'context': 'start_conversation', 'tone': 'formal', 'variant_of': None}]",True,[],False,[],False,chitchat
My deepest condolences,True,unknown,general,[],False,[],False,[],False,chitchat
Mrng shame nematambudziko,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko May The always Comforter of our Hearts  GOD give you the well  deserved Comfort,True,neutral,general,[],False,[],False,['of'],True,chitchat
Thank you so much hamadzangu nemashoko anopukuta misodzi,True,unknown,general,[],False,[],False,['so'],True,chitchat
Nematambudziko mweya wavo ngaizorore murunyararo netsitsi dza Mwari,True,unknown,religion,[],False,[],False,[],False,religion
Nematambudziko,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko  hama,True,unknown,general,[],False,[],False,[],False,chitchat
Maswerasei hama,True,unknown,greeting,[],False,[],False,[],False,chitchat
Uuuum Sorry DaughterNematambudziko hama,True,unknown,general,[],False,[],False,[],False,chitchat
Nyaradzwai naJehova Mhsrp,True,unknown,general,[],False,[],False,[],False,chitchat
Ndine hurombo mzkuru  nyaradzwa naMwari  very sry,True,unknown,religion,[],False,[],False,[],False,chitchat
Tine urombo zvikuru,True,unknown,general,[],False,[],False,[],False,chitchat
Mornings family,True,neutral,general,[],False,[],False,[],False,chitchat
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,chitchat
Morning hama,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Happy birthday mkanya,True,unknown,general,[],False,[],False,[],False,chitchat
Hbd komborerwai big dhara,True,unknown,general,[],False,[],False,['big'],True,chitchat
Happy bdae bhudhimay the Almighty keep on preserving you bvuudzwai mberi nekuramba muchichengetwa nashe,True,positive,greeting,[],False,[],False,['on'],True,chitchat
Happy birthday to sekuru,True,unknown,general,[],False,[],False,['to'],True,chitchat
Happy  birthday  mwanawangu aaaa wakura chikomana uuye utore mari yekutenga mazepi,True,unknown,finance,[],False,[],False,[],False,finance
Birthday blessings to you in abundance daddy Happy belated birthday,True,positive,general,[],False,[],False,"['to', 'in']",True,chitchat
Thank you all,True,neutral,general,[],False,[],False,[],False,chitchat
ok mwana,True,unknown,general,[],False,[],False,[],False,chitchat
Happy birthday kule,True,unknown,general,[],False,[],False,[],False,chitchat
Good morningfamily muswere munyasha hama,True,positive,general,[],False,[],False,[],False,chitchat
Mornings,True,unknown,general,[],False,[],False,[],False,chitchat
Morning morning Tamuka mamukawo munyasha dzawo,True,unknown,greeting,[],False,[],False,[],False,chitchat
Murehwa vangu Happy birthday mukure munyasha dzake,True,unknown,general,[],False,[],False,[],False,chitchat
Ende makada kufanana naJesuvakadaro aChihera vachidya mari yamufundisi yeOffering,True,unknown,finance,[],False,[],False,['ende'],True,finance
Kkkkkk,True,unknown,general,[],False,[],False,[],False,chitchat
Kkkkkkkkk,True,unknown,general,[],False,[],False,[],False,chitchat
httpschatwhatsappcomGfCAnWvpIxETZlqWGnWhttpschatwhatsappcomGfCAnWvpIxETZlqWGnW,True,neutral,general,[],False,[],False,[],False,chitchat
The above link is for those who are interested in livestock farming,True,positive,general,[],False,[],False,"['is', 'in']",True,chitchat
Chawawana idya nehama mutorwa anehanganwa,True,unknown,general,[],False,[],False,[],False,chitchat
Tried and tested group,True,neutral,general,[],False,[],False,['and'],True,chitchat
Never dare God  I repeat NEVER DARE GOD,True,neutral,general,[],False,[],False,['i'],True,chitchat
Good,True,unknown,general,[],False,[],False,[],False,chitchat
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,chitchat
wanangu uri cey Fonerawo baba vako,True,unknown,general,[],False,[],False,['uri'],True,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Good morning to u my family muswere munyasha,True,positive,general,[],False,[],False,"['to', 'u']",True,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
A blessed and lovely morning to you Masoka family,True,positive,general,[],False,[],False,"['a', 'and', 'to']",True,religion
This message was deleted,True,neutral,greeting,[],False,[],False,[],False,chitchat
Morning family mamuka sei zvenyu mhuri yaChinhamhora,True,unknown,greeting,"[{'term': 'mamuka', 'meaning': 'Did you wake up well?', 'context': 'start_conversation', 'tone': 'formal', 'variant_of': None}]",True,[],False,['sei'],True,chitchat
Mornings Mornings,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Morning Morning family  you all,True,neutral,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Sharing is caring,True,neutral,general,[],False,[],False,['is'],True,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Ummmmmm thank you very much,True,positive,general,[],False,[],False,[],False,chitchat
Okay hma,True,unknown,general,[],False,[],False,['hma'],True,chitchat
Makes Sense,True,unknown,general,[],False,[],False,[],False,chitchat
Good morning morning Tamuka munyasha dzamwari,True,unknown,religion,[],False,[],False,[],False,chitchat
Mornings family,True,neutral,general,[],False,[],False,[],False,chitchat
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,chitchat
Nurse aid  wanted at Karanda Mission Hospital,True,neutral,general,[],False,[],False,['at'],True,chitchat
Good morning,True,positive,general,[],False,[],False,[],False,chitchat
Makadii hama dzangu chiri cei chando kwamuri,True,unknown,greeting,[],False,[],False,[],False,chitchat
Good morning family kwaMurewa kuti kutonhora veduwe,True,unknown,general,[],False,[],False,[],False,chitchat
CONGRATULATIONS TO ALL ECONET OLD CUSTOMERS,True,neutral,general,[],False,[],False,['to'],True,chitchat
Be careful of scammers,True,neutral,general,[],False,[],False,"['be', 'of']",True,chitchat
A BIG Amennnnnnnnnnnn,True,unknown,religion,[],False,[],False,"['a', 'big']",True,chitchat
Phishing,True,neutral,greeting,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Good morning,True,positive,general,[],False,[],False,[],False,chitchat
Mrng family stay blessed,True,neutral,general,[],False,[],False,[],False,religion
Pane vanhu here pano,True,unknown,general,[],False,[],False,[],False,chitchat
Asekuru,True,unknown,general,[],False,[],False,[],False,chitchat
Isu tiri kumusha phone hadzina vabereki,True,unknown,general,[],False,[],False,[],False,chitchat
Tumirai nzungu sekuru,True,unknown,general,[],False,[],False,[],False,chitchat
Gore rino kune zhara nzungu ishoma kwangu kumunda hakuna kubuda chinhu,True,unknown,greeting,[],False,[],False,[],False,chitchat
OK sekuru,True,unknown,general,[],False,[],False,[],False,chitchat
Tinotenda  kurisei zvako ikoko nevamwe vose,True,unknown,general,[],False,[],False,[],False,chitchat
Zvese bhoo zvekuti,True,unknown,general,[],False,[],False,[],False,chitchat
SekuruMwanavangu enjoy your break,True,unknown,general,[],False,[],False,[],False,chitchat
Good morning,True,positive,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
TrueVari ku Hacker ma foni,True,unknown,general,[],False,[],False,"['ku', 'ma']",True,chitchat
sure ma one aya,True,unknown,general,[],False,[],False,"['ma', 'aya']",True,chitchat
Good morning family,True,positive,general,[],False,[],False,[],False,chitchat
Good morning,True,positive,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Maswera sei,True,unknown,greeting,"[{'term': 'maswera', 'meaning': 'How was your day?', 'context': 'start_conversation', 'tone': 'formal', 'variant_of': 'maswera sei'}]",True,[],False,['sei'],True,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Noted,True,neutral,general,[],False,[],False,[],False,chitchat
Good morning,True,positive,general,[],False,[],False,[],False,chitchat
Good morning  family muswere munyasha hama Only be good,True,positive,general,[],False,[],False,['be'],True,chitchat
Everyone is advised to wear a mask because the new COVIDOmicron XBB variant of the coronavirus is different deadly and not easy to detect,True,neutral,general,[],False,[],False,"['is', 'to', 'a', 'of', 'is', 'and', 'to']",True,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Thats very true,True,positive,general,[],False,[],False,[],False,chitchat
Mornings Mornings family,True,neutral,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Morning morning family,True,neutral,general,[],False,[],False,[],False,chitchat
Forwarded as received,True,neutral,general,[],False,[],False,['as'],True,chitchat
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Muswere munyasha dza Mwari vedu hama,True,unknown,religion,[],False,[],False,[],False,chitchat
Gd mng happy fathers day to you anaMurewa makandikoshera,True,unknown,general,[],False,[],False,['to'],True,chitchat
Happy Fathers day to you all fathers enjoy the day,True,positive,general,[],False,[],False,['to'],True,chitchat
Happy Fathers day kuvarume vese vanoda Mwari uye vanotya Mwari varume vese vanoda madzimai avo varume vese vagere nemhuri dzavo zvakanaka murudo nemurunyararo varume vese vakaroora kubvisa pfuma kwete vanochaya mapoto varume vese vanochengeta vana vavo kwete vakatiza mhuri varume vanoremekedza madzimai avo varume vasingazvidze kana kusvora vakadzi vavo varume vasingagare musango kunge mhuka varume vanoziva kuchengeta kunyangwe nherera dziri mumisha yavo vana baba chaivo vanoona kuti vana vaendeswa kuChikoro Enjoy your special day vana baba chaivo May God richly bless you nemakore akawanda azere maropafadzo hutano nehuchenjeri nesimba rekuriritira mhuri dzenyu dzamara Ishe Jesu vachiuya,True,unknown,religion,[],False,"[{'term': 'murudo', 'meaning': 'no hard feelings', 'category': 'emotion', 'tone': 'reassuring', 'part_of_speech': 'expression', 'variant_of': None}]",True,['murudo'],True,chitchat
Thank you very much my daughters and senior muzukuru,True,positive,general,[],False,[],False,['and'],True,chitchat
Good morning,True,positive,general,[],False,[],False,[],False,chitchat
Have a blessed day to you all keep well family,True,neutral,general,[],False,[],False,"['a', 'to']",True,religion
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Makadiiko mativi mana ose enyika,True,unknown,general,[],False,[],False,['mana'],True,chitchat
Maswerasei hama,True,unknown,greeting,[],False,[],False,[],False,chitchat
Good morning family have a blessed day to you all keep well family,True,positive,general,[],False,[],False,"['a', 'to']",True,religion
Mornings Mornings family,True,neutral,general,[],False,[],False,[],False,chitchat
Morning morning hama Tamuka,True,unknown,general,[],False,[],False,[],False,chitchat
This message was deleted,True,neutral,greeting,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
ZIMBABWE REPUBLIC POLICE RECRUITMENT EXERCISE,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Thanx,True,unknown,general,[],False,[],False,[],False,chitchat
Ndovimba tose tirimunyasha dzaMwari,True,unknown,religion,[],False,[],False,[],False,chitchat
Amen,True,unknown,religion,[],False,[],False,[],False,religion
MARRIAGE ADVICE FROM THE ELDERLY,True,neutral,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Mornings Mornings family,True,neutral,general,[],False,[],False,[],False,chitchat
Good morning family muswere munyasha hama Only be good all the time,True,positive,general,[],False,[],False,['be'],True,chitchat
Morning morning hama Tamuka munyasha,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Jesus,True,unknown,general,[],False,[],False,[],False,chitchat
Kkkkk,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Good Morning Vana Murehwa and Everyone Must an illusion,True,positive,general,[],False,[],False,"['and', 'an']",True,chitchat
Morning Morning uko mose mose kwamuri hama,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Good morningHave a great Sunday,True,positive,general,[],False,[],False,['a'],True,chitchat
Morning muone Mwana wenyu Hosana akauyakooooo,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Good morning family have a blessed day to you all keep well,True,positive,general,[],False,[],False,"['a', 'to']",True,religion
Good morning and how are you,True,positive,general,[],False,[],False,['and'],True,chitchat
httpscheckerscozapaoutrxyzchanniversaryprizes,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Ummmmmm,True,unknown,general,[],False,[],False,[],False,chitchat
Maswerasei hama,True,unknown,greeting,[],False,[],False,[],False,chitchat
Taswera zvedu chando kupisa chete,True,unknown,general,[],False,[],False,[],False,chitchat
Taswera maswerawo,True,unknown,greeting,[],False,[],False,[],False,chitchat
Taswera bho chando chete,True,neutral,general,[],False,"[{'term': 'bho', 'meaning': 'cool', 'category': 'expression', 'tone': 'casual', 'part_of_speech': 'adjective', 'variant_of': None}]",True,['bho'],True,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Good morning family,True,positive,general,[],False,[],False,[],False,chitchat
Good morning family muswere munyasha hama Only be good,True,positive,general,[],False,[],False,['be'],True,chitchat
Looking for Shupikai Masoka,True,unknown,general,[],False,[],False,[],False,chitchat
Mornings Mornings family,True,neutral,general,[],False,[],False,[],False,chitchat
Maswerasei hama,True,unknown,greeting,[],False,[],False,[],False,chitchat
Hama munofara here kwese kwamuri Mwari akuitireyi zvakanaka,True,unknown,religion,[],False,[],False,[],False,chitchat
Vakavabata here tete vako nhai B,True,unknown,general,[],False,[],False,['b'],True,chitchat
Hesi khule murisei,True,unknown,greeting,"[{'term': 'hesi', 'meaning': 'Hi!', 'context': 'start_conversation', 'tone': 'casual', 'variant_of': None}]",True,"[{'term': 'khule', 'meaning': 'uncle', 'category': 'family', 'tone': 'neutral', 'part_of_speech': 'noun', 'variant_of': None}]",True,['khule'],True,chitchat
Ndakanaka ini,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Wow thats nice,True,positive,general,[],False,[],False,[],False,chitchat
Father and daughter,True,neutral,general,[],False,[],False,['and'],True,chitchat
Nice one,True,positive,general,[],False,[],False,[],False,chitchat
Ndini baba vavo vese kkkkkkk,True,unknown,general,[],False,[],False,[],False,chitchat
Zvinokudzwa brother,True,unknown,general,[],False,[],False,[],False,chitchat
Endesai aSoko kuChicken inn zvamunombindiita,True,unknown,greeting,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Ameeeen Ameeeen,True,unknown,general,[],False,[],False,[],False,chitchat
Woow akagonesa mwana,True,unknown,general,[],False,[],False,[],False,chitchat
This message was deleted,True,neutral,greeting,[],False,[],False,[],False,chitchat
This message was deleted,True,neutral,greeting,[],False,[],False,[],False,chitchat
Beautiful,True,unknown,general,[],False,[],False,[],False,chitchat
Good morning family,True,positive,general,[],False,[],False,[],False,chitchat
Col,True,neutral,general,[],False,[],False,[],False,chitchat
Good morning family muswere munyasha hama Only be good,True,positive,general,[],False,[],False,['be'],True,chitchat
Mornings Mornings family,True,neutral,general,[],False,[],False,[],False,chitchat
Good morning family have a blessed day to you all,True,positive,general,[],False,[],False,"['a', 'to']",True,religion
Magwanani akanaka Hama mose,True,unknown,general,[],False,[],False,[],False,chitchat
Tamuka zvedu muri seiwo ikoko,True,unknown,greeting,[],False,[],False,['muri'],True,chitchat
Morning  family,True,neutral,general,[],False,[],False,[],False,chitchat
Morning,True,neutral,general,[],False,[],False,[],False,chitchat
Morning family,True,neutral,general,[],False,[],False,[],False,chitchat
Married women this is for you please take notes,True,positive,greeting,[],False,[],False,['is'],True,chitchat
Magwanani akanaka Hama mose muswere munyasha dzamwar,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Good morning family have a blessed day to you all,True,positive,general,[],False,[],False,"['a', 'to']",True,religion
Morning family,True,neutral,general,[],False,[],False,[],False,chitchat
Makadii hama dzadiwa muna ishe,True,unknown,general,[],False,[],False,[],False,chitchat
Makakadiiko pano,True,unknown,general,[],False,[],False,[],False,chitchat
Ndokumhiravo title ye book rakanyorwa na The late Eby,True,unknown,greeting,[],False,[],False,"['ye', 'na']",True,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
httpswwwamazoncomShonaBantuclaimingIsraelHeritagedpBXSNX,True,neutral,general,[],False,[],False,[],False,chitchat
Thanks big deal,True,unknown,general,[],False,[],False,['big'],True,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
This so awesome  Well done Bro,True,positive,greeting,[],False,[],False,['so'],True,chitchat
A wise man once said,True,positive,general,[],False,[],False,"['a', 'man']",True,chitchat
Thanx,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,chitchat
Ummm Mwari rwirai vanhu venyu Kani morning hama,True,unknown,religion,[],False,[],False,[],False,chitchat
Good day hama,True,unknown,general,[],False,[],False,[],False,chitchat
Semuzukuru handifunge kuti inganzi imhosva kukuudzai kuti kupinda muGrp womuda zvisina tsangangudzo imhosvahuye ibva waziva kuti wazvitsaura panedzimwe Saka mangwana usatiudze kuti uneruoko rwaunidawo kwatiri nekuti wakagara wataura kuti tasiyanaGive Reason for ur LEFT,True,unknown,general,[],False,[],False,['ur'],True,chitchat
Morning morning hama mose Tamuka munyasha dzamwari muswere madziri,True,unknown,religion,[],False,[],False,[],False,chitchat
INSIGHT INTO THE SPIRITUAL WORLD,True,neutral,general,[],False,[],False,[],False,chitchat
Good morning family,True,positive,general,[],False,[],False,[],False,chitchat
Amen,True,unknown,religion,[],False,[],False,[],False,religion
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,chitchat
Kana muine late relatives vakafa vari mapurisa retired or serving vakasiya vana vanoda kujoiner ZRP endesai mazita kwaChaplin wepolice or nearest chaplains  Tavawanira mukana uno,True,unknown,general,[],False,[],False,[],False,chitchat
Tine guwa ragogo masoka kune wakasunuguka ms wa,True,unknown,general,[],False,[],False,['wa'],True,chitchat
Noted,True,neutral,general,[],False,[],False,[],False,chitchat
Noted,True,neutral,general,[],False,[],False,[],False,chitchat
Mornings Mornings family,True,neutral,general,[],False,[],False,[],False,chitchat
Makadini mosethe Great Clam,True,positive,greeting,"[{'term': 'makadini', 'meaning': 'How are you? (plural/formal)', 'context': 'start_conversation', 'tone': 'formal', 'variant_of': None}]",True,[],False,[],False,chitchat
Good morning family have a blessed day to you all,True,positive,general,[],False,[],False,"['a', 'to']",True,religion
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Ichoooo,True,unknown,general,[],False,[],False,[],False,chitchat
Im good muriseiko mwenewazvo,True,unknown,general,[],False,[],False,['im'],True,chitchat
Glad you are good wangu,True,unknown,general,[],False,[],False,[],False,chitchat
Ndibetsereiwo ndarasikanhai anaSoko ndimi futi here anaMwenewazvoMy understanding is vana vasikana vanaJena,True,unknown,general,[],False,[],False,['is'],True,chitchat
Ndofunga zvimwechete ini,True,unknown,general,[],False,[],False,[],False,chitchat
Ko  vanonzi anaDewa ndevapi,True,unknown,general,[],False,[],False,['ko'],True,chitchat
Thank you son,True,neutral,general,[],False,[],False,[],False,chitchat
Ava ini handizive hangu,True,unknown,general,[],False,[],False,['ava'],True,chitchat
Am good sis murisei,True,unknown,general,[],False,[],False,['am'],True,chitchat
Ndirimo munyasha hun,True,unknown,general,[],False,[],False,['hun'],True,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Like srs here tete,True,unknown,general,[],False,[],False,[],False,chitchat
