message,is_code_mixed,sentiment,context,greeting_info,has_greeting,exact_slang,has_exact_slang,fuzzy_slang,has_fuzzy_slang,intent
Takaenda Takaenda  hama ku service,True,unknown,general,[],False,[],False,['ku'],True,chitchat
yes yes,True,unknown,general,[],False,[],False,"['yes', 'yes']",True,chitchat
Kkkk mako,True,unknown,general,[],False,[],False,[],False,chitchat
Kwakanaka wena,True,unknown,general,[],False,[],False,[],False,chitchat
Oky meaning ndeyekuti kana tati tikuungana pashow ground or kuglenview vanouya ipapo  point not nzvimbo dzakasiyana siyani,True,unknown,general,[],False,[],False,[],False,chitchat
ZIFA Announces Eligible Candidates For Upcoming Elections Magaya Mliswa Fail Test,True,negative,general,[],False,[],False,['mliswa'],True,chitchat
Unozvinzwa nani,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
This message was deleted,True,neutral,greeting,[],False,[],False,[],False,chitchat
Ask again,True,unknown,general,[],False,[],False,[],False,chitchat
Vahebheru  SHO,True,unknown,general,[],False,[],False,[],False,chitchat
Price,True,unknown,general,[],False,[],False,[],False,chitchat
Kereke kereke handei,True,unknown,general,[],False,[],False,[],False,chitchat
Ngaruwandeeeee,True,unknown,general,[],False,[],False,[],False,chitchat
Thank you,True,neutral,general,[],False,[],False,[],False,chitchat
Nematambudziko,True,unknown,general,[],False,[],False,[],False,chitchat
I think its better for us to do quizzes pane zvema  mins zviya,True,positive,greeting,[],False,[],False,"['i', 'us', 'to', 'do']",True,chitchat
Least Cost Construction Pvt Ltd,True,negative,general,[],False,[],False,[],False,chitchat
No kunyangwe isiri Brahma,True,unknown,general,[],False,[],False,[],False,chitchat
RUGAREEEEE hama,True,unknown,greeting,[],False,[],False,[],False,chitchat
Okay,True,unknown,general,[],False,[],False,[],False,chitchat
Marangarirwa hama,True,unknown,general,[],False,[],False,[],False,chitchat
Yekutanga handina,True,unknown,general,[],False,[],False,[],False,chitchat
Ehe hanty ukuda kubatsirwa kutsva brai stand here or ndiuye naro from Chitown,True,neutral,greeting,[],False,[],False,[],False,chitchat
Ndoona zvakanaka kuti  dzichaye tichitangawo service,True,unknown,greeting,[],False,[],False,[],False,chitchat
Tinenge takutsurai kupfeka mashort skirts mobva mati materera tozokuonai makapfeka zilong dress rikusvika kutsoka nezi vent baba rakasvika kunoku,True,unknown,general,[],False,[],False,['mati'],True,chitchat
Ukutoseka   kkk  weduwe  kuita kuzvangura nonzara,True,unknown,general,[],False,[],False,['kuita'],True,chitchat
Chingunduvcf file attached,True,neutral,greeting,[],False,[],False,[],False,chitchat
Tinotenda MWARI vakapindira makorokoto,True,unknown,religion,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Ndine vedio rako kaaaa  nerani,True,unknown,general,[],False,[],False,[],False,chitchat
Nhymi murisey,True,unknown,general,[],False,[],False,[],False,chitchat
Pastor ndine kundiso yenyu mangwana Zamai kbata  ndiyo kundiso yacho,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Yeeeh,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Hie mwanavangu Sekuru,True,unknown,greeting,[],False,[],False,[],False,chitchat
Taswera maswerawo,True,unknown,greeting,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Maitabasa,True,unknown,general,[],False,[],False,[],False,chitchat
Killing  ourselves  by instalments,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Hoo saka tikati hakuchina church kana jeso munoona zvichibuda izvozvo,True,unknown,greeting,[],False,[],False,[],False,chitchat
Zvikasashamisa haazi Mwari kudzwai Jeso,True,unknown,religion,[],False,[],False,[],False,chitchat
Waudzwa wotochengeta ke bus,True,unknown,general,[],False,[],False,['ke'],True,chitchat
Introspection,True,neutral,general,[],False,[],False,[],False,chitchat
Mutsai yenyu chrh baba,True,unknown,general,[],False,[],False,[],False,chitchat
Dai Mwari abatsira vanhu vake  per head handifunge imari yekuti ingabva yanzi yarema Ndoona kushaya hanya chete,True,unknown,religion,[],False,[],False,['hanya'],True,chitchat
Shandai chokwadi tinoda kudya,True,unknown,general,[],False,[],False,['shandai'],True,chitchat
yeah hembe dzodiwa hadzo but humhandara hwakakosha kudarika zvese manje,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Nodzandinadzowo idzo,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Tomorrow March,True,neutral,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Ndakasimba chaizvo mudzidzisi wangu kana makasimbawo nemhuri nemabasa nehama dzose Ishe vanotendera dai zvikadero pakati pegore apa ndokusuvai mudzidzisi wangu,True,unknown,greeting,[],False,[],False,['apa'],True,chitchat
inini here kasi ndatovamo mumujolo kkkkk,True,unknown,general,[],False,[],False,[],False,chitchat
Mkadii mese muno kuno tirivapenyu,True,unknown,general,[],False,[],False,['mkadii'],True,chitchat
Haaa chihu tikuchida ichi ngachirongwe,True,unknown,greeting,[],False,[],False,[],False,chitchat
Mazuva emutambo wevana  August,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Psalms  vs  say Tarirai kunaka kwazvo kana hama dzichigara pamwe nerugare thank you family for all the support u gave us during our loss of our tete  thank you all may the Lord bless u,True,neutral,greeting,[],False,[],False,"['say', 'u', 'us', 'of', 'u']",True,chitchat
Aaaaaaa nematambudziko,True,unknown,general,[],False,[],False,[],False,chitchat
Paita a serial rapist arikufamba achiti anotsvagira vanhu ma Basa or ane munhu arikuda munhu we Basa be it remumba  mumashops Munhu uyu akushanda ne mukadzi anoto pretender kuti anoda munhu webasa zvekuti anotopa victim number dzemukadzi uyu vototaura Arikuzoti kune victim ngatisangane pakati apa parikuzobudikira bhinya iri ro raper rotora phone ne zvimwe kubva ku victim  Adaro ari kushandisa phone ye victim kutsvaga the next target Vanhu vapera veduweee kandai muma groups sechenjedzo kuvanhu vedu Marimba MufakoseBudiriro Kuwadzana Whitehouse areas ndokwaari kunyanya kutora mavictims ake,True,unknown,finance,[],False,[],False,"['a', 'ma', 'ane', 'be', 'it', 'ne', 'apa', 'ro', 'ne', 'ku', 'ye', 'kandai', 'ake']",True,chitchat
Chirega kuseka ndozonzi musikana akaomera uyu,True,unknown,greeting,[],False,[],False,[],False,chitchat
But bhutsu iya inogotiudza kuti kuIndia hakugarike,True,unknown,general,[],False,[],False,[],False,chitchat
Kkk ndikudzoka ndasheedzwa,True,unknown,general,[],False,[],False,[],False,chitchat
Eheka tombobatawo zvishoma kaaakuitira kut patinonetsana newsnhu vye tombovapao ma vrs acho,True,unknown,general,[],False,[],False,['ma'],True,chitchat
July,True,neutral,general,[],False,[],False,[],False,chitchat
Saka Satan manje anoti kana Ishe ukakupa  iye aklnokuunzira ka quick problem kakuda  kamwe kanoda  wobva waona kuti haaa this time hazvichabude kkkkkk Mdara vanengevachitarisa havo vari zii kkkkk,True,unknown,greeting,[],False,[],False,['ka'],True,chitchat
Mornings family,True,neutral,general,[],False,[],False,[],False,chitchat
Aaaaah,True,unknown,general,[],False,[],False,[],False,chitchat
Urisei,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko hama,True,unknown,general,[],False,[],False,[],False,chitchat
Aiwa utori right fut kutedxa murairo ndokutoita follower,True,positive,general,[],False,[],False,[],False,chitchat
Chokwadi we keep learning,True,unknown,general,[],False,[],False,[],False,chitchat
He is my former studenttalk to him,True,neutral,greeting,[],False,[],False,"['he', 'is', 'studenttalk', 'to', 'him']",True,chitchat
Thank you ne report iyi zvakajeka Mutambo uyu wakabudirira nekuda kwenyu mose hama imi mose,True,unknown,general,[],False,[],False,['ne'],True,chitchat
Nematambudziko,True,unknown,general,[],False,[],False,[],False,chitchat
Haapere wakanonoka nhasi mangwana unomawana futi,True,unknown,general,[],False,[],False,[],False,chitchat
Noted elder,True,unknown,general,[],False,[],False,[],False,chitchat
Yeah iiii Huuh iyiii taiyirovaa,True,unknown,general,[],False,[],False,[],False,chitchat
Sei kana ndir panzwimbo unonditiza mupfanha  kaa Rega uone,True,unknown,general,[],False,[],False,['sei'],True,chitchat
Ooh shame nematambudziko ndevapi ava,True,unknown,general,[],False,[],False,['ava'],True,chitchat
Aewa kaaa ini ndabvunzakaa kwamuri saka pamwe munenge mune zvamunoziwa mutidzidzise asi patinenge taita mubvunzo hatiregi kubvunza,True,unknown,general,[],False,[],False,[],False,chitchat
Coz most of ma babe arimuno mashoma anoona code,True,unknown,general,[],False,[],False,"['of', 'ma']",True,chitchat
Happy birthday Sekuru,True,unknown,general,[],False,[],False,[],False,chitchat
ndimi hadzina basa hanty vanhu vakapedza kudzitaura hapana zvavanozotiudza kuti vaona,True,unknown,general,[],False,[],False,[],False,chitchat
pa vanhu vari online now hapashaye  admin,True,unknown,general,[],False,[],False,['pa'],True,chitchat
Xmas box  tete,True,unknown,general,[],False,[],False,[],False,chitchat
Church iri padhuze nepa Head Office Chitungwiza,True,neutral,greeting,[],False,[],False,[],False,chitchat
Coming soon,True,unknown,general,[],False,[],False,[],False,chitchat
Wanzai kufunga mainini  yah ngatishandisei pfungwa vaskana  zviri necessary  hre izvozvo,True,unknown,general,[],False,[],False,[],False,chitchat
Cy basa ramwar,True,unknown,general,[],False,[],False,[],False,chitchat
Lkkk,True,unknown,general,[],False,[],False,[],False,chitchat
Inga zvakanaka zvakadaro ndichazongoku bvunzai hangu,True,unknown,general,[],False,[],False,[],False,chitchat
China looking at us manufacturers,True,neutral,greeting,[],False,[],False,"['at', 'us']",True,chitchat
Masiya Anashe,True,unknown,general,[],False,[],False,[],False,chitchat
Mambonzwawo kt pangawanike transport hr,True,unknown,general,[],False,[],False,[],False,chitchat
Makadii hama munashe Ndokumbirawo kubvunza kti sangano redu re boanerges rine branch muchishawasha hre anoziva kwainopindirwa ngaandibatsirewo Thanks,True,unknown,greeting,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko hamaaah zvosiyana vamwe vanoviga vamwevanopisa,True,unknown,general,[],False,[],False,[],False,chitchat
Mwari ndisviteiwo apo,True,unknown,religion,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Shuwa apa good quality,True,unknown,general,[],False,[],False,['apa'],True,chitchat
Woyeeeeee,True,unknown,general,[],False,[],False,[],False,chitchat
Kufanoisa tick   pamusoro so tofanoisa here EV,True,unknown,general,[],False,[],False,"['tick', 'so']",True,chitchat
Sure,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
iiiii vanhu musaseke vatungamiri,True,unknown,general,[],False,[],False,[],False,chitchat
Matii todii nepic,True,unknown,general,[],False,[],False,['todii'],True,chitchat
Zvekuno zvaramba kaa,True,unknown,general,[],False,[],False,[],False,chitchat
Thank you SG,True,unknown,general,[],False,[],False,[],False,chitchat
Ayehwa mubvunzo hauna kunakq uyo cuz  hazvisi zvese zvatingavhotere pane ma qualities anotariswa pluz i think ma advisors ese ane grup saka vanongosarudzana zviri boe,True,unknown,greeting,[],False,[],False,"['ma', 'i', 'ma', 'ane']",True,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Offer yemunhu anotenda,True,neutral,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Musatipfrkedze  majombo Kule,True,unknown,general,[],False,[],False,[],False,chitchat
ndati pamwe,True,unknown,general,[],False,[],False,[],False,chitchat
location httpsmapsgooglecomq,True,neutral,general,[],False,[],False,[],False,chitchat
Kupedza data munhu achitaura zvisina basa,True,unknown,greeting,[],False,[],False,[],False,chitchat
Nematambudziko ana Mkanya,True,unknown,general,[],False,[],False,['ana'],True,chitchat
Pachedu my sister,True,neutral,general,[],False,[],False,[],False,chitchat
Magwanani akanaka Hama mose kwamuri kumativi mana nenyika mwari vatimutsa munyasha dzawo,True,unknown,religion,[],False,[],False,['mana'],True,chitchat
Haaaa i think certificate rinongoratidza panyama kt wakabhabhatidzwa but haribatsire chinhu kubhabhatidzwa kupinda hako mumvura asi chinhu chikuru kt iwe munhu umene ushandure mafungiro ako nemaitiro ako kt uwadzane nekururama kwaMwari nguvadzose its like kuzvarwa patsva,True,unknown,religion,[],False,[],False,['i'],True,chitchat
Zvinofadza chengetwa naShe,True,unknown,general,[],False,[],False,[],False,chitchat
Muri cy muno,True,unknown,general,[],False,[],False,['muri'],True,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Tichirikurarama Rabi munogarepi,True,unknown,greeting,[],False,[],False,[],False,chitchat
Ngativei netariro munaIshe wedu Jesu Kristu wakaporofitwa nemurairo nevaporofita akaratidzwa nguwa dzekupedzisira ndiye watakawana naye mapindiro munyasha idzi Romans,True,unknown,general,[],False,[],False,[],False,chitchat
Thank you so much for sharing word of the day,True,positive,general,[],False,[],False,"['so', 'of']",True,chitchat
Happy Happy,True,unknown,general,[],False,[],False,[],False,chitchat
Saka iwewe hautozive  fut,True,unknown,general,[],False,[],False,[],False,chitchat
Hatisi tese tino tungamira kaa vamwe vanofa vachitungamirirwa,True,unknown,greeting,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
God will provide as required,True,neutral,general,[],False,[],False,['as'],True,chitchat
Ndinofara kwazvo kwakadii ikoko,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
,False,unknown,unknown,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Ma warriors havana ground rekutambira ma home games zvanhasi kana Jersey rekupfeka havasati vavenaro apa  vane game mangwana,True,unknown,general,[],False,[],False,"['ma', 'ma', 'apa']",True,chitchat
kkkkk haa usadaroka nhai shamwari,True,unknown,religion,[],False,[],False,[],False,chitchat
Pastor madonhedza imwe pasi,True,unknown,general,[],False,[],False,[],False,chitchat
Kkk ndirkutenda ini,True,unknown,general,[],False,[],False,[],False,chitchat
Jeremiah  v,True,unknown,general,[],False,[],False,['v'],True,chitchat
Flowers  will be Fri morning as the truck picks up the Tombstones to Mrewa,True,neutral,general,[],False,[],False,"['be', 'as', 'to']",True,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Church tichikuida SG musatidero,True,neutral,greeting,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Nematambudziko angazvakaoma,True,unknown,general,[],False,[],False,[],False,chitchat
Ndekupi uku,True,unknown,general,[],False,[],False,['uku'],True,chitchat
Ndokumbirawo anyone ane digid ra Dexter Samanyika inbox now,True,unknown,general,[],False,[],False,"['ane', 'ra']",True,chitchat
Makadii hama munashe,True,unknown,general,[],False,[],False,[],False,chitchat
Ndizvo chaizvo izvozvo zvakakosha mukati mekurarama,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Saa waona kut vnhu  vanogona ktaura zvine msoro tobuda hedu tatenda shoko zvirinan pne kubuda tichit mamuona hre azokwira pa artari akabata bishop ruoko,True,unknown,greeting,[],False,[],False,['pa'],True,chitchat
Kkkkk,True,unknown,general,[],False,[],False,[],False,chitchat
Izvozvi pane arikugadzirira kuenda kumusha kunosiira mukadzi kana murume wake chirwere,True,unknown,greeting,[],False,[],False,[],False,chitchat
Ukusekei,True,unknown,general,[],False,[],False,[],False,chitchat
Ini ndinoti tsvakai Jesu achawanikwa mosiyana nekuti mamutsvakirepi Kana zvese zvichitaridza hukuru hwaMwarizvemakereke izvi hazvina kumboipa,True,unknown,religion,[],False,[],False,[],False,chitchat
Thanks Happy to do that Pass the Link Mwana,True,positive,general,[],False,[],False,"['to', 'do']",True,chitchat
Nematambudziko,True,unknown,general,[],False,[],False,[],False,chitchat
Taking note,True,unknown,general,[],False,[],False,[],False,chitchat
Aihwa koo chii futt,True,unknown,greeting,[],False,[],False,[],False,chitchat
Munoda kurwirei ko nevamwe vanhu vakasikwa naMwari kuti vamunamate,True,unknown,religion,[],False,[],False,['ko'],True,chitchat
Chokwadi avadaire vanhu venyika vanonetsa,True,unknown,general,[],False,[],False,[],False,chitchat
Handei kereke kereke nguva dzakwana ngatiitey tichigqdzirira,True,unknown,greeting,[],False,[],False,[],False,chitchat
October  here tete,True,neutral,general,[],False,[],False,[],False,chitchat
ndoziva munouya asi correctai watch yenyu kkkkk totanga na,True,unknown,general,[],False,[],False,['na'],True,chitchat
Hamunzwisisi neiko kuti handina kutaura kwamuri pamsoro pezvingwa Asi muchenjere mbiriso yava Farise navaSadhuse,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Apfanha mune problem  munhu imimi,True,unknown,general,[],False,[],False,[],False,chitchat
Tamuka kana mamukawo,True,unknown,greeting,[],False,[],False,[],False,chitchat
Thnks nekuti reminder  so hapana hre rimwe document  that shows kut takabva papi netarget yacho n now taapapi,True,neutral,general,[],False,[],False,"['so', 'papi', 'n']",True,chitchat
handina kudaro,True,unknown,general,[],False,[],False,[],False,chitchat
Zvinoita chete,True,unknown,general,[],False,[],False,[],False,chitchat
No  huya naro zvako,True,unknown,general,[],False,[],False,[],False,chitchat
NICHOLAS,True,unknown,general,[],False,[],False,[],False,chitchat
Uyu anonzi Lisa  uyu akutoda nezvangu chaizvoo zva Dexter  zvauya pai,True,unknown,general,[],False,[],False,[],False,chitchat
It only affects new students who dont yet have Visas,True,neutral,general,[],False,[],False,"['it', 'students']",True,chitchat
Typing error,True,unknown,general,[],False,[],False,[],False,chitchat
Media omitted,True,unknown,general,[],False,[],False,[],False,chitchat
Hapamihwe mihwe,True,unknown,general,[],False,[],False,[],False,chitchat
Tofa kuno nechando,True,unknown,general,[],False,[],False,[],False,chitchat
Decision should not be made by one person though,True,neutral,general,[],False,[],False,['be'],True,chitchat
Bundu,True,unknown,general,[],False,[],False,[],False,chitchat
Mwari akandiringanisa pazvinhu  zvese,True,unknown,religion,[],False,[],False,[],False,chitchat
On a sad note our mommudzimai wamudhara Isaac Masoka vashaya ku Glenfield this afternoon,True,unknown,greeting,[],False,[],False,"['on', 'a', 'ku']",True,chitchat
Kkk mkoma  nguva ndoo yaita choma zvayo,True,unknown,general,[],False,[],False,[],False,chitchat
Asi pa bhuku vaimira mira nemasutu,True,unknown,general,[],False,[],False,['pa'],True,chitchat
TO RECEIVE DAILY NEWS UPDATES,True,neutral,general,[],False,[],False,['to'],True,chitchat
