message,is_code_mixed,sentiment,context,greeting_info,has_greeting,exact_slang,has_exact_slang,fuzzy_slang,has_fuzzy_slang,intent,contexts
Makasimba hre hama dzangu munashe Vanamai vangu Happy mothers day makatikoshera mose zvenyu muswere munyasha dzake,True,unknown,greeting,"[{'term': 'makasimba', 'meaning': 'Are you well?', 'context': 'start_conversation', 'tone': 'formal', 'variant_of': None}]",True,[],False,[],False,Greeting,"['family', 'religion', 'friendship', 'celebration', 'greeting']"
Makadiwo ana mum sokos,True,unknown,general,[],False,[],False,['ana'],True,general,['general']
Happy mothers day ana Soko and Mukanyas U are all my mothers    Love all,True,positive,general,[],False,[],False,"['ana', 'and', 'u']",True,Celebration,"['celebration', 'romantic']"
Thank you daughter love yu,True,positive,general,[],False,[],False,[],False,Love,"['appreciation', 'romantic']"
AnaMukanya mese zvenyu Happy mothers day to you,True,positive,general,[],False,[],False,['to'],True,Celebration,['celebration']
Thank yu,True,unknown,general,[],False,[],False,[],False,general,['appreciation']
Tinotenda nekufarawo pakuremekedzwa  kwezuva rana mai vedu Tinokuremekedzai zvikuru vana mai vedu,True,unknown,general,[],False,[],False,[],False,general,['appreciation']
Happy Mothers day to you all vana Amai vangu,True,positive,general,[],False,[],False,['to'],True,Family,"['family', 'celebration']"
Good morning,True,positive,general,[],False,[],False,[],False,general,['general']
Magwanani akanaka Hama mose,True,unknown,general,[],False,[],False,[],False,Family,['family']
Tarara mararawo aiwa grace is upon us  Muswere munyasha hama,True,unknown,general,[],False,[],False,"['is', 'us']",True,Family,"['family', 'religion', 'friendship']"
Mornings,True,unknown,general,[],False,[],False,[],False,general,['general']
Morning morning,True,neutral,general,[],False,[],False,[],False,general,['general']
Kuno TAMUTSWA zvedu hama,True,unknown,general,[],False,[],False,[],False,Family,['family']
A blessed and lovely morning to you all,True,positive,general,[],False,[],False,"['a', 'and', 'to']",True,Religion,"['religion', 'romantic']"
Good morning,True,positive,general,[],False,[],False,[],False,general,['general']
Good morning family,True,positive,general,[],False,[],False,[],False,Friendship,['friendship']
Magwanani akanaka Hama mose Tamuka munyasha dzamwari,True,unknown,religion,[],False,[],False,[],False,Family,"['family', 'religion', 'friendship']"
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,Family,"['family', 'friendship']"
Morning morning hama,True,unknown,general,[],False,[],False,[],False,Family,['family']
PRESIDENT CYRIL RAMAPHOSA ANC IS GIVING FREE GB DATA AND RECHARGE R VOUCHER GIFTS TO SUPPORTERS,True,unknown,general,[],False,[],False,"['president', 'is', 'and', 'r', 'to']",True,Friendship,"['friendship', 'location', 'politics']"
Kana uri MuZim neraini rako here uchigara kuzimbabwe,True,unknown,greeting,[],False,[],False,['uri'],True,Family,"['family', 'educational']"
Thanks for adding me how are you family,True,positive,general,[],False,[],False,['me'],True,Friendship,"['friendship', 'appreciation']"
Name Rumbi Born Masoka,True,unknown,general,[],False,[],False,[],False,general,['general']
Uyo mwana wacho,True,unknown,general,[],False,[],False,[],False,Family,['family']
Welcome mukanya,True,unknown,general,[],False,[],False,[],False,general,['general']
You are now admin,True,neutral,general,[],False,[],False,[],False,general,['general']
Totenda Mwari zvikurusa sokostina  tinokudai arimuno here,True,unknown,religion,[],False,[],False,[],False,Religion,"['religion', 'appreciation']"
Mkoma Patrick PetsoGreetings Big browelcome aboard,True,neutral,general,[],False,[],False,['big'],True,Family,"['family', 'friendship']"
Youre welcome bamunini,True,positive,general,[],False,[],False,[],False,Family,['family']
Hy hama dzangu,True,unknown,general,[],False,[],False,[],False,Family,['family']
Welcome on board,True,positive,general,[],False,[],False,['on'],True,general,['general']
Welcome mwana  wakadii hako,True,unknown,general,[],False,[],False,[],False,Family,['family']
Ini boe zvangu kurisei kwamuri hama dzadiiwa ndokumbirawo tizivane nemi mose,True,unknown,general,[],False,[],False,[],False,Family,"['family', 'requests']"
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,Family,"['family', 'friendship']"
Dear Friend youve been referred by Blessing Masoka to contact ZimLoan for an online loan,True,neutral,general,[],False,[],False,"['to', 'an']",True,Religion,['religion']
Greetings family,True,neutral,general,[],False,[],False,[],False,Friendship,['friendship']
Morning family,True,neutral,general,[],False,[],False,[],False,Friendship,['friendship']
morning  mwana,True,unknown,general,[],False,[],False,[],False,Family,['family']
Mkanya,True,unknown,general,[],False,[],False,[],False,Family,['family']
Maswerasei hama,True,unknown,greeting,[],False,[],False,[],False,Family,['family']
Makadiniko pano hama,True,unknown,greeting,[],False,[],False,[],False,Family,['family']
Shame nematambudziko,True,unknown,general,[],False,[],False,[],False,sympathy,"['family', 'friendship', 'sympathy']"
Nematambudziko hma,True,unknown,general,[],False,[],False,['hma'],True,sympathy,['sympathy']
Sorry nematambudziko veduwee,True,unknown,general,[],False,[],False,[],False,sympathy,['sympathy']
Nematambudziko mwanangu,True,unknown,general,[],False,[],False,[],False,sympathy,"['family', 'sympathy']"
Nematambudziko,True,unknown,general,[],False,[],False,[],False,sympathy,['sympathy']
I am sorry Mai Masimba May u be comforted in the Lord,True,negative,general,[],False,[],False,"['i', 'am', 'u', 'be', 'in']",True,sympathy,"['family', 'sympathy']"
Oh Nematambudziko  zvoda kutaura nguvairipo mwana tokukutawo vanokwanisa vasvika tovhumbamira mwana wedu,True,unknown,general,[],False,[],False,[],False,sympathy,"['family', 'sympathy']"
Nematambudziko,True,unknown,general,[],False,[],False,[],False,sympathy,['sympathy']
Nematambudziko,True,unknown,general,[],False,[],False,[],False,sympathy,['sympathy']
Nematambudziko hama,True,unknown,general,[],False,[],False,[],False,sympathy,"['family', 'sympathy']"
Nematambudziko nekurasikirwa naTete,True,unknown,general,[],False,[],False,[],False,sympathy,"['family', 'sympathy']"
Nematambudziko,True,unknown,general,[],False,[],False,[],False,sympathy,['sympathy']
Nematambudziko,True,unknown,general,[],False,[],False,[],False,sympathy,['sympathy']
Nematambudziko,True,unknown,general,[],False,[],False,[],False,sympathy,['sympathy']
Tineurombo muzukuru Chipo nyaradzwai,True,unknown,greeting,[],False,[],False,[],False,sympathy,"['educational', 'sympathy']"
Nematambudziko,True,unknown,general,[],False,[],False,[],False,sympathy,['sympathy']
Nematambudziko daughter,True,unknown,general,[],False,[],False,[],False,sympathy,['sympathy']
Mangwanani akanaka hama dzadiwa,True,unknown,greeting,"[{'term': 'mangwanani', 'meaning': 'Good morning', 'context': 'start_conversation', 'tone': 'formal', 'variant_of': None}]",True,[],False,[],False,Greeting,"['family', 'greeting']"
My deepest condolences,True,unknown,general,[],False,[],False,[],False,sympathy,['sympathy']
Mrng shame nematambudziko,True,unknown,general,[],False,[],False,[],False,sympathy,"['family', 'friendship', 'sympathy']"
Nematambudziko May The always Comforter of our Hearts  GOD give you the well  deserved Comfort,True,neutral,general,[],False,[],False,['of'],True,sympathy,"['religion', 'sympathy']"
Thank you so much hamadzangu nemashoko anopukuta misodzi,True,unknown,general,[],False,[],False,['so'],True,Family,"['family', 'religion', 'appreciation']"
Nematambudziko mweya wavo ngaizorore murunyararo netsitsi dza Mwari,True,unknown,religion,[],False,[],False,[],False,sympathy,"['religion', 'sympathy']"
Nematambudziko,True,unknown,general,[],False,[],False,[],False,sympathy,['sympathy']
Nematambudziko  hama,True,unknown,general,[],False,[],False,[],False,sympathy,"['family', 'sympathy']"
Maswerasei hama,True,unknown,greeting,[],False,[],False,[],False,Family,['family']
Uuuum Sorry DaughterNematambudziko hama,True,unknown,general,[],False,[],False,[],False,sympathy,"['family', 'sympathy']"
Nyaradzwai naJehova Mhsrp,True,unknown,general,[],False,[],False,[],False,Religion,['religion']
Ndine hurombo mzkuru  nyaradzwa naMwari  very sry,True,unknown,religion,[],False,[],False,[],False,sympathy,"['religion', 'sympathy']"
Tine urombo zvikuru,True,unknown,general,[],False,[],False,[],False,general,['general']
Mornings family,True,neutral,general,[],False,[],False,[],False,Friendship,['friendship']
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,Family,"['family', 'friendship']"
Morning hama,True,unknown,general,[],False,[],False,[],False,Family,['family']
Happy birthday mkanya,True,unknown,general,[],False,[],False,[],False,Family,"['family', 'celebration']"
Hbd komborerwai big dhara,True,unknown,general,[],False,[],False,['big'],True,Family,['family']
Happy bdae bhudhimay the Almighty keep on preserving you bvuudzwai mberi nekuramba muchichengetwa nashe,True,positive,greeting,[],False,[],False,['on'],True,Family,"['family', 'religion']"
Happy birthday to sekuru,True,unknown,general,[],False,[],False,['to'],True,Family,"['family', 'celebration']"
Happy  birthday  mwanawangu aaaa wakura chikomana uuye utore mari yekutenga mazepi,True,unknown,finance,[],False,[],False,[],False,Family,"['family', 'friendship', 'celebration', 'finance']"
Birthday blessings to you in abundance daddy Happy belated birthday,True,positive,general,[],False,[],False,"['to', 'in']",True,Family,"['family', 'religion', 'celebration']"
Thank you all,True,neutral,general,[],False,[],False,[],False,general,['appreciation']
ok mwana,True,unknown,general,[],False,[],False,[],False,Family,['family']
Happy birthday kule,True,unknown,general,[],False,[],False,[],False,Celebration,['celebration']
Good morningfamily muswere munyasha hama,True,positive,general,[],False,[],False,[],False,Family,"['family', 'friendship']"
Mornings,True,unknown,general,[],False,[],False,[],False,general,['general']
Morning morning Tamuka mamukawo munyasha dzawo,True,unknown,greeting,[],False,[],False,[],False,Family,"['family', 'friendship']"
Murehwa vangu Happy birthday mukure munyasha dzake,True,unknown,general,[],False,[],False,[],False,Family,"['family', 'friendship', 'celebration']"
Ende makada kufanana naJesuvakadaro aChihera vachidya mari yamufundisi yeOffering,True,unknown,finance,[],False,[],False,['ende'],True,Religion,"['religion', 'finance']"
Kkkkkk,True,unknown,general,[],False,[],False,[],False,Humor,['humor']
Kkkkkkkkk,True,unknown,general,[],False,[],False,[],False,Humor,['humor']
httpschatwhatsappcomGfCAnWvpIxETZlqWGnWhttpschatwhatsappcomGfCAnWvpIxETZlqWGnW,True,neutral,general,[],False,[],False,[],False,general,['general']
The above link is for those who are interested in livestock farming,True,positive,general,[],False,[],False,"['is', 'in']",True,general,['general']
Chawawana idya nehama mutorwa anehanganwa,True,unknown,general,[],False,[],False,[],False,Family,['family']
Tried and tested group,True,neutral,general,[],False,[],False,['and'],True,general,['general']
Never dare God  I repeat NEVER DARE GOD,True,neutral,general,[],False,[],False,['i'],True,Religion,['religion']
Good,True,unknown,general,[],False,[],False,[],False,general,['general']
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,Family,"['family', 'friendship']"
wanangu uri cey Fonerawo baba vako,True,unknown,general,[],False,[],False,['uri'],True,Family,['family']
Good morning to u my family muswere munyasha,True,positive,general,[],False,[],False,"['to', 'u']",True,Family,"['family', 'friendship']"
A blessed and lovely morning to you Masoka family,True,positive,general,[],False,[],False,"['a', 'and', 'to']",True,Religion,"['religion', 'friendship', 'romantic']"
This message was deleted,True,neutral,greeting,[],False,[],False,[],False,general,['general']
Morning family mamuka sei zvenyu mhuri yaChinhamhora,True,unknown,greeting,"[{'term': 'mamuka', 'meaning': 'Did you wake up well?', 'context': 'start_conversation', 'tone': 'formal', 'variant_of': None}]",True,[],False,['sei'],True,Greeting,"['friendship', 'greeting']"
Mornings Mornings,True,unknown,general,[],False,[],False,[],False,general,['general']
Morning Morning family  you all,True,neutral,general,[],False,[],False,[],False,Friendship,['friendship']
Sharing is caring,True,neutral,general,[],False,[],False,['is'],True,Family,"['family', 'friendship']"
Ummmmmm thank you very much,True,positive,general,[],False,[],False,[],False,general,['appreciation']
Okay hma,True,unknown,general,[],False,[],False,['hma'],True,general,['general']
Makes Sense,True,unknown,general,[],False,[],False,[],False,general,['general']
Good morning morning Tamuka munyasha dzamwari,True,unknown,religion,[],False,[],False,[],False,Family,"['family', 'religion', 'friendship']"
Mornings family,True,neutral,general,[],False,[],False,[],False,Friendship,['friendship']
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,Family,"['family', 'friendship']"
Nurse aid  wanted at Karanda Mission Hospital,True,neutral,general,[],False,[],False,['at'],True,health,['health']
Good morning,True,positive,general,[],False,[],False,[],False,general,['general']
Makadii hama dzangu chiri cei chando kwamuri,True,unknown,greeting,[],False,[],False,[],False,Family,['family']
Good morning family kwaMurewa kuti kutonhora veduwe,True,unknown,general,[],False,[],False,[],False,Friendship,['friendship']
CONGRATULATIONS TO ALL ECONET OLD CUSTOMERS,True,neutral,general,[],False,[],False,['to'],True,Celebration,['celebration']
Be careful of scammers,True,neutral,general,[],False,[],False,"['be', 'of']",True,general,['general']
A BIG Amennnnnnnnnnnn,True,unknown,religion,[],False,[],False,"['a', 'big']",True,Religion,['religion']
Phishing,True,neutral,greeting,[],False,[],False,[],False,general,['general']
Good morning,True,positive,general,[],False,[],False,[],False,general,['general']
Mrng family stay blessed,True,neutral,general,[],False,[],False,[],False,Religion,"['religion', 'friendship']"
Pane vanhu here pano,True,unknown,general,[],False,[],False,[],False,general,['general']
Asekuru,True,unknown,general,[],False,[],False,[],False,Family,['family']
Isu tiri kumusha phone hadzina vabereki,True,unknown,general,[],False,[],False,[],False,Family,"['family', 'friendship']"
Tumirai nzungu sekuru,True,unknown,general,[],False,[],False,[],False,Family,['family']
Gore rino kune zhara nzungu ishoma kwangu kumunda hakuna kubuda chinhu,True,unknown,greeting,[],False,[],False,[],False,Friendship,['friendship']
OK sekuru,True,unknown,general,[],False,[],False,[],False,Family,['family']
Tinotenda  kurisei zvako ikoko nevamwe vose,True,unknown,general,[],False,[],False,[],False,general,['appreciation']
Zvese bhoo zvekuti,True,unknown,general,[],False,[],False,[],False,general,['general']
SekuruMwanavangu enjoy your break,True,unknown,general,[],False,[],False,[],False,Family,['family']
Good morning,True,positive,general,[],False,[],False,[],False,general,['general']
TrueVari ku Hacker ma foni,True,unknown,general,[],False,[],False,"['ku', 'ma']",True,general,['general']
sure ma one aya,True,unknown,general,[],False,[],False,"['ma', 'aya']",True,general,['general']
Good morning family,True,positive,general,[],False,[],False,[],False,Friendship,['friendship']
Good morning,True,positive,general,[],False,[],False,[],False,general,['general']
Maswera sei,True,unknown,greeting,"[{'term': 'maswera', 'meaning': 'How was your day?', 'context': 'start_conversation', 'tone': 'formal', 'variant_of': 'maswera sei'}]",True,[],False,['sei'],True,Greeting,['greeting']
Noted,True,neutral,general,[],False,[],False,[],False,general,['general']
Good morning,True,positive,general,[],False,[],False,[],False,general,['general']
Good morning  family muswere munyasha hama Only be good,True,positive,general,[],False,[],False,['be'],True,Family,"['family', 'friendship']"
Everyone is advised to wear a mask because the new COVIDOmicron XBB variant of the coronavirus is different deadly and not easy to detect,True,neutral,general,[],False,[],False,"['is', 'to', 'a', 'of', 'is', 'and', 'to']",True,general,['general']
Thats very true,True,positive,general,[],False,[],False,[],False,general,['general']
Mornings Mornings family,True,neutral,general,[],False,[],False,[],False,Friendship,['friendship']
Morning morning family,True,neutral,general,[],False,[],False,[],False,Friendship,['friendship']
Forwarded as received,True,neutral,general,[],False,[],False,['as'],True,general,['general']
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,Family,"['family', 'friendship']"
Muswere munyasha dza Mwari vedu hama,True,unknown,religion,[],False,[],False,[],False,Family,"['family', 'religion', 'friendship']"
Gd mng happy fathers day to you anaMurewa makandikoshera,True,unknown,general,[],False,[],False,['to'],True,Family,"['family', 'celebration']"
Happy Fathers day to you all fathers enjoy the day,True,positive,general,[],False,[],False,['to'],True,Family,"['family', 'celebration']"
Happy Fathers day kuvarume vese vanoda Mwari uye vanotya Mwari varume vese vanoda madzimai avo varume vese vagere nemhuri dzavo zvakanaka murudo nemurunyararo varume vese vakaroora kubvisa pfuma kwete vanochaya mapoto varume vese vanochengeta vana vavo kwete vakatiza mhuri varume vanoremekedza madzimai avo varume vasingazvidze kana kusvora vakadzi vavo varume vasingagare musango kunge mhuka varume vanoziva kuchengeta kunyangwe nherera dziri mumisha yavo vana baba chaivo vanoona kuti vana vaendeswa kuChikoro Enjoy your special day vana baba chaivo May God richly bless you nemakore akawanda azere maropafadzo hutano nehuchenjeri nesimba rekuriritira mhuri dzenyu dzamara Ishe Jesu vachiuya,True,unknown,religion,[],False,"[{'term': 'murudo', 'meaning': 'no hard feelings', 'category': 'emotion', 'tone': 'reassuring', 'part_of_speech': 'expression', 'variant_of': None}]",True,['murudo'],True,Family,"['family', 'religion', 'friendship', 'celebration', 'educational']"
Thank you very much my daughters and senior muzukuru,True,positive,general,[],False,[],False,['and'],True,Education,"['appreciation', 'educational']"
Good morning,True,positive,general,[],False,[],False,[],False,general,['general']
Have a blessed day to you all keep well family,True,neutral,general,[],False,[],False,"['a', 'to']",True,Religion,"['religion', 'friendship']"
Makadiiko mativi mana ose enyika,True,unknown,general,[],False,[],False,['mana'],True,general,['general']
Maswerasei hama,True,unknown,greeting,[],False,[],False,[],False,Family,['family']
Good morning family have a blessed day to you all keep well family,True,positive,general,[],False,[],False,"['a', 'to']",True,Religion,"['religion', 'friendship']"
Mornings Mornings family,True,neutral,general,[],False,[],False,[],False,Friendship,['friendship']
Morning morning hama Tamuka,True,unknown,general,[],False,[],False,[],False,Family,['family']
This message was deleted,True,neutral,greeting,[],False,[],False,[],False,general,['general']
ZIMBABWE REPUBLIC POLICE RECRUITMENT EXERCISE,True,unknown,general,[],False,[],False,[],False,Family,['family']
Thanx,True,unknown,general,[],False,[],False,[],False,general,['appreciation']
Ndovimba tose tirimunyasha dzaMwari,True,unknown,religion,[],False,[],False,[],False,Family,"['family', 'religion', 'friendship']"
Amen,True,unknown,religion,[],False,[],False,[],False,Religion,['religion']
MARRIAGE ADVICE FROM THE ELDERLY,True,neutral,general,[],False,[],False,[],False,Family,['family']
Mornings Mornings family,True,neutral,general,[],False,[],False,[],False,Friendship,['friendship']
Good morning family muswere munyasha hama Only be good all the time,True,positive,general,[],False,[],False,['be'],True,Family,"['family', 'friendship']"
Morning morning hama Tamuka munyasha,True,unknown,general,[],False,[],False,[],False,Family,"['family', 'friendship']"
Jesus,True,unknown,general,[],False,[],False,[],False,Religion,['religion']
Kkkkk,True,unknown,general,[],False,[],False,[],False,Humor,['humor']
Good Morning Vana Murehwa and Everyone Must an illusion,True,positive,general,[],False,[],False,"['and', 'an']",True,general,['general']
Morning Morning uko mose mose kwamuri hama,True,unknown,general,[],False,[],False,[],False,Family,['family']
Good morningHave a great Sunday,True,positive,general,[],False,[],False,['a'],True,general,['general']
Morning muone Mwana wenyu Hosana akauyakooooo,True,unknown,general,[],False,[],False,[],False,Family,['family']
Good morning family have a blessed day to you all keep well,True,positive,general,[],False,[],False,"['a', 'to']",True,Religion,"['religion', 'friendship']"
Good morning and how are you,True,positive,general,[],False,[],False,['and'],True,general,['general']
httpscheckerscozapaoutrxyzchanniversaryprizes,True,unknown,general,[],False,[],False,[],False,general,['general']
Ummmmmm,True,unknown,general,[],False,[],False,[],False,general,['general']
Maswerasei hama,True,unknown,greeting,[],False,[],False,[],False,Family,['family']
Taswera zvedu chando kupisa chete,True,unknown,general,[],False,[],False,[],False,general,['general']
Taswera maswerawo,True,unknown,greeting,[],False,[],False,[],False,general,['general']
Taswera bho chando chete,True,neutral,general,[],False,"[{'term': 'bho', 'meaning': 'cool', 'category': 'expression', 'tone': 'casual', 'part_of_speech': 'adjective', 'variant_of': None}]",True,['bho'],True,general,['general']
Good morning family,True,positive,general,[],False,[],False,[],False,Friendship,['friendship']
Good morning family muswere munyasha hama Only be good,True,positive,general,[],False,[],False,['be'],True,Family,"['family', 'friendship']"
Looking for Shupikai Masoka,True,unknown,general,[],False,[],False,[],False,general,['general']
Mornings Mornings family,True,neutral,general,[],False,[],False,[],False,Friendship,['friendship']
Maswerasei hama,True,unknown,greeting,[],False,[],False,[],False,Family,['family']
Hama munofara here kwese kwamuri Mwari akuitireyi zvakanaka,True,unknown,religion,[],False,[],False,[],False,Family,"['family', 'religion']"
Vakavabata here tete vako nhai B,True,unknown,general,[],False,[],False,['b'],True,Family,['family']
Hesi khule murisei,True,unknown,greeting,"[{'term': 'hesi', 'meaning': 'Hi!', 'context': 'start_conversation', 'tone': 'casual', 'variant_of': None}]",True,"[{'term': 'khule', 'meaning': 'uncle', 'category': 'family', 'tone': 'neutral', 'part_of_speech': 'noun', 'variant_of': None}]",True,['khule'],True,Greeting,['greeting']
Ndakanaka ini,True,unknown,general,[],False,[],False,[],False,general,['general']
Wow thats nice,True,positive,general,[],False,[],False,[],False,general,['general']
Father and daughter,True,neutral,general,[],False,[],False,['and'],True,Family,['family']
Nice one,True,positive,general,[],False,[],False,[],False,general,['general']
Ndini baba vavo vese kkkkkkk,True,unknown,general,[],False,[],False,[],False,Family,"['family', 'humor']"
Zvinokudzwa brother,True,unknown,general,[],False,[],False,[],False,Family,"['family', 'friendship']"
Endesai aSoko kuChicken inn zvamunombindiita,True,unknown,greeting,[],False,[],False,[],False,general,['general']
Ameeeen Ameeeen,True,unknown,general,[],False,[],False,[],False,general,['general']
Woow akagonesa mwana,True,unknown,general,[],False,[],False,[],False,Family,['family']
This message was deleted,True,neutral,greeting,[],False,[],False,[],False,general,['general']
This message was deleted,True,neutral,greeting,[],False,[],False,[],False,general,['general']
Beautiful,True,unknown,general,[],False,[],False,[],False,general,['general']
Good morning family,True,positive,general,[],False,[],False,[],False,Friendship,['friendship']
Col,True,neutral,general,[],False,[],False,[],False,general,['general']
Good morning family muswere munyasha hama Only be good,True,positive,general,[],False,[],False,['be'],True,Family,"['family', 'friendship']"
Mornings Mornings family,True,neutral,general,[],False,[],False,[],False,Friendship,['friendship']
Good morning family have a blessed day to you all,True,positive,general,[],False,[],False,"['a', 'to']",True,Religion,"['religion', 'friendship']"
Magwanani akanaka Hama mose,True,unknown,general,[],False,[],False,[],False,Family,['family']
Tamuka zvedu muri seiwo ikoko,True,unknown,greeting,[],False,[],False,['muri'],True,general,['general']
Morning  family,True,neutral,general,[],False,[],False,[],False,Friendship,['friendship']
Morning,True,neutral,general,[],False,[],False,[],False,general,['general']
Morning family,True,neutral,general,[],False,[],False,[],False,Friendship,['friendship']
Married women this is for you please take notes,True,positive,greeting,[],False,[],False,['is'],True,general,['general']
Magwanani akanaka Hama mose muswere munyasha dzamwar,True,unknown,general,[],False,[],False,[],False,Family,"['family', 'friendship']"
Good morning family have a blessed day to you all,True,positive,general,[],False,[],False,"['a', 'to']",True,Religion,"['religion', 'friendship']"
Morning family,True,neutral,general,[],False,[],False,[],False,Friendship,['friendship']
Makadii hama dzadiwa muna ishe,True,unknown,general,[],False,[],False,[],False,Family,"['family', 'religion']"
Makakadiiko pano,True,unknown,general,[],False,[],False,[],False,general,['general']
Ndokumhiravo title ye book rakanyorwa na The late Eby,True,unknown,greeting,[],False,[],False,"['ye', 'na']",True,general,['general']
httpswwwamazoncomShonaBantuclaimingIsraelHeritagedpBXSNX,True,neutral,general,[],False,[],False,[],False,Family,['family']
Thanks big deal,True,unknown,general,[],False,[],False,['big'],True,general,['appreciation']
This so awesome  Well done Bro,True,positive,greeting,[],False,[],False,['so'],True,Family,"['family', 'friendship']"
A wise man once said,True,positive,general,[],False,[],False,"['a', 'man']",True,general,['general']
Thanx,True,unknown,general,[],False,[],False,[],False,general,['appreciation']
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,Family,"['family', 'friendship']"
Ummm Mwari rwirai vanhu venyu Kani morning hama,True,unknown,religion,[],False,[],False,[],False,Family,"['family', 'religion']"
Good day hama,True,unknown,general,[],False,[],False,[],False,Family,['family']
Semuzukuru handifunge kuti inganzi imhosva kukuudzai kuti kupinda muGrp womuda zvisina tsangangudzo imhosvahuye ibva waziva kuti wazvitsaura panedzimwe Saka mangwana usatiudze kuti uneruoko rwaunidawo kwatiri nekuti wakagara wataura kuti tasiyanaGive Reason for ur LEFT,True,unknown,general,[],False,[],False,['ur'],True,Education,['educational']
Morning morning hama mose Tamuka munyasha dzamwari muswere madziri,True,unknown,religion,[],False,[],False,[],False,Family,"['family', 'religion', 'friendship']"
INSIGHT INTO THE SPIRITUAL WORLD,True,neutral,general,[],False,[],False,[],False,general,['general']
Good morning family,True,positive,general,[],False,[],False,[],False,Friendship,['friendship']
Amen,True,unknown,religion,[],False,[],False,[],False,Religion,['religion']
Good morning family muswere munyasha hama,True,positive,general,[],False,[],False,[],False,Family,"['family', 'friendship']"
Kana muine late relatives vakafa vari mapurisa retired or serving vakasiya vana vanoda kujoiner ZRP endesai mazita kwaChaplin wepolice or nearest chaplains  Tavawanira mukana uno,True,unknown,general,[],False,[],False,[],False,general,['general']
Tine guwa ragogo masoka kune wakasunuguka ms wa,True,unknown,general,[],False,[],False,['wa'],True,Family,['family']
Noted,True,neutral,general,[],False,[],False,[],False,general,['general']
Noted,True,neutral,general,[],False,[],False,[],False,general,['general']
Mornings Mornings family,True,neutral,general,[],False,[],False,[],False,Friendship,['friendship']
Makadini mosethe Great Clam,True,positive,greeting,"[{'term': 'makadini', 'meaning': 'How are you? (plural/formal)', 'context': 'start_conversation', 'tone': 'formal', 'variant_of': None}]",True,[],False,[],False,Greeting,['greeting']
Good morning family have a blessed day to you all,True,positive,general,[],False,[],False,"['a', 'to']",True,Religion,"['religion', 'friendship']"
Ichoooo,True,unknown,general,[],False,[],False,[],False,general,['general']
Im good muriseiko mwenewazvo,True,unknown,general,[],False,[],False,['im'],True,general,['general']
Glad you are good wangu,True,unknown,general,[],False,[],False,[],False,Friendship,['friendship']
Ndibetsereiwo ndarasikanhai anaSoko ndimi futi here anaMwenewazvoMy understanding is vana vasikana vanaJena,True,unknown,general,[],False,[],False,['is'],True,general,['general']
Ndofunga zvimwechete ini,True,unknown,general,[],False,[],False,[],False,general,['general']
Ko  vanonzi anaDewa ndevapi,True,unknown,general,[],False,[],False,['ko'],True,general,['general']
Thank you son,True,neutral,general,[],False,[],False,[],False,general,['appreciation']
Ava ini handizive hangu,True,unknown,general,[],False,[],False,['ava'],True,general,['general']
